qc_id,gid,acueducto,serial,marcamedid,clasemedid,tipomedido,diametro_p,fecha_ins,usuario,cod_predio,cota,observacio,icon_url
"69","389",San Antonio,"32118",Aquaforjas,Micromedidor,Volumétrico,0.5,,"10002690",,1008,,./0.png
"70","390",San Antonio,"184354",Otro,Micromedidor,Volumétrico,0.5,,"10002691",,995,,./0.png
"71","391",San Antonio,"31598",Otro,Micromedidor,Volumétrico,0.5,,"10002692",,997,,./0.png
"72","392",San Antonio,"31596",Otro,Micromedidor,Volumétrico,0.5,,"10002700",,995,,./0.png
"73","1",San Antonio,ND,Otro,Macromedidor,De Velocidad,3,,"10000000",,1413,Macro medidor para el rebose del tanque Los Alpes,./0.png
"74","7",San Antonio,"16026853",Water meter,Micromedidor,Ultrasónico,0.5,,"10002630",,1078,,./0.png
"75","39",San Antonio,"31187",Otro,Micromedidor,Volumétrico,0.5,,"10000832",,1074,,./0.png
"76","10",San Antonio,"14098",Otro,Micromedidor,Volumétrico,0.5,,"10001250",,1070,Acuaforjas,./0.png
"77","82",San Antonio,"306715",Otro,Micromedidor,Volumétrico,0.5,,"10000880",,1048,,./0.png
"78","84",San Antonio,"443",Otro,Micromedidor,Volumétrico,0.5,,"10000879",,1045,,./0.png
"79","121",San Antonio,"14073",Otro,Micromedidor,Volumétrico,0.5,,"10000573",,1048,,./0.png
"80","122",San Antonio,"14063",Otro,Micromedidor,Volumétrico,0.5,,"10000579",,1048,,./0.png
"81","123",San Antonio,"40382",Otro,Micromedidor,Volumétrico,0.5,,"10000577",,1049,,./0.png
